Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
1038860331,"Jun 14, 2017, 11:30:54 AM",Morning run,Run,"",3240,9.65,,false,,
1692318134,"Jul 10, 2018, 12:27:28 AM","Flat, easy 4",Run,,1956,6.66,,false,,activities/1692318134.gpx
1694268810,"Jul 10, 2018, 9:26:27 PM",WU mile,Run,,510,1.64,,false,,activities/1694268810.gpx
1696461346,"Jul 11, 2018, 9:44:04 PM",Same as Monday,Run,,1974,6.46,,false,,activities/1696461346.gpx
1697766161,"Jul 12, 2018, 3:14:43 PM",Morning Run,Run,,734,2.48,,false,,activities/1697766161.gpx
1700858821,"Jul 14, 2018, 2:56:06 AM",Evening Run,Run,,2073,6.46,,false,,activities/1700858821.gpx
1702198926,"Jul 14, 2018, 2:57:31 PM",Waterworxxx,Run,Hillz,2981,8.06,,false,,activities/1702198926.gpx
1704616975,"Jul 15, 2018, 2:34:45 PM",Hills again,Run,,2360,6.48,,false,,activities/1704616975.gpx
1705420180,"Jul 15, 2018, 10:30:00 PM",3 easy,Run,,1396,4.83,,false,,activities/1705420180.gpx
1709489730,"Jul 17, 2018, 8:33:33 PM",Easy 4,Run,,2017,6.61,,false,,activities/1709489730.gpx
1709900180,"Jul 18, 2018, 2:01:32 AM",Night additional,Run,,1053,3.22,,false,,activities/1709900180.gpx
1712251884,"Jul 19, 2018, 2:27:29 AM",Evening 4,Run,And DS,1897,6.44,,false,,activities/1712251884.gpx
1713552143,"Jul 19, 2018, 5:11:26 PM",Fab flat four,Run,,1906,6.61,,false,,activities/1713552143.gpx
1714460242,"Jul 20, 2018, 2:23:22 AM",Nighttime 3,Run,,1333,4.84,,false,,activities/1714460242.gpx
1723608443,"Jul 24, 2018, 2:21:59 AM",Peter's hill,Run,Better than the last time,2057,6.58,,false,,activities/1723608443.gpx
1725580045,"Jul 24, 2018, 9:05:28 PM",M,Run,,1994,4.63,,false,,activities/1725580045.gpx
1729224813,"Jul 26, 2018, 3:07:59 PM",Wu,Run,,985,3.22,,false,,activities/1729224813.gpx
1729986105,"Jul 26, 2018, 8:47:51 PM",Afternoon 4,Run,,2037,6.47,,false,,activities/1729986105.gpx
1731917374,"Jul 27, 2018, 7:58:38 PM",6 miles,Run,Battery saver turned on last mile and gps glitched,4375,9.23,,false,,activities/1731917374.gpx
1734027854,"Jul 28, 2018, 6:54:05 PM",Lunch Run,Run,,1901,6.46,,false,,activities/1734027854.gpx
1736849448,"Jul 29, 2018, 11:17:49 PM",Afternoon Run,Run,,1007,0.27,,false,,activities/1736849448.gpx
